NAME                        SYNC STATUS   HEALTH STATUS   REVISION                                   PROJECT
app-of-apps-observability   Synced        Healthy         b30507dbdc36a92c7408c704be2680001c78febb   default
app-of-apps-osdu            Synced        Healthy         b30507dbdc36a92c7408c704be2680001c78febb   osdu
obs-ingress                 Synced        Healthy         b30507dbdc36a92c7408c704be2680001c78febb   default
obs-kube-prometheus-stack   Synced        Healthy         b30507dbdc36a92c7408c704be2680001c78febb   default
obs-loki                    Synced        Healthy         b30507dbdc36a92c7408c704be2680001c78febb   default
osdu-ceph                   Synced        Healthy         b30507dbdc36a92c7408c704be2680001c78febb   default
osdu-core                   Synced        Healthy         b30507dbdc36a92c7408c704be2680001c78febb   osdu
osdu-deps                   Synced        Healthy         b30507dbdc36a92c7408c704be2680001c78febb   osdu
osdu-identity               Synced        Healthy         b30507dbdc36a92c7408c704be2680001c78febb   osdu
